ASSERTION	AAECAAMCAAAAAAAAwFdA
ASSERTION	AAMAASBYVUlfUFJMX0MxMDBfNDYwX1N1Ym1pdEFuZFBheU5vdwIAAwIAAAAAAAAAVEA=
ASSERTION	AAMAARtYVUlfUFJMX0ZMNDAxXzQ5MF9TT1RTdWJtaXQCAAMCAAAAAAAAAFRA
ASSERTION	AAMAASNQUkxfQ2l0aXplbkMxMDBfODEwXzAwNV9GaW5hbFN1Ym1pdAIAAwIAAAAAAAAAVEA=
RUN	simulations.XUI_Simulation	xui-simulation	1678704746223	 	3.3.1
USER	***** Private Law Create Case *****	1	START	1678705047215	1678705047215
GROUP	1	PRL_CitizenC100_345_EnterYourNameRedirect	1678705215535	1678705215747	180	OK
REQUEST	1	PRL_CitizenC100_350_KnowContactDetails	PRL_CitizenC100_350_005_KnowContactDetails	1678705220451	1678705220530	OK	 
REQUEST	1	PRL_CitizenC100_350_KnowContactDetails	PRL_CitizenC100_350_005_KnowContactDetails Redirect 1	1678705220547	1678705220645	OK	 
GROUP	1	PRL_CitizenC100_350_KnowContactDetails	1678705220445	1678705220737	263	OK
REQUEST	1	PRL_CitizenC100_360_KeepDetailsPrivate	PRL_CitizenC100_360_005_KeepDetailsPrivate	1678705224359	1678705224405	OK	 
REQUEST	1	PRL_CitizenC100_360_KeepDetailsPrivate	PRL_CitizenC100_360_005_KeepDetailsPrivate Redirect 1	1678705224414	1678705224491	OK	 
GROUP	1	PRL_CitizenC100_360_KeepDetailsPrivate	1678705224354	1678705224557	179	OK
USER	***** Private Law Create Case *****	2	START	1678705227214	1678705227214
REQUEST	2	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome	1678705227239	1678705227373	OK	 
REQUEST	2	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 1	1678705227379	1678705227419	OK	 
REQUEST	2	PRL_CitizenC100_010_PRLHome	PRL_CitizenC100_010_005_PRLHome Redirect 2	1678705227422	1678705227492	OK	 
GROUP	2	PRL_CitizenC100_010_PRLHome	1678705227225	1678705227664	396	OK
REQUEST	1	PRL_CitizenC100_370_KeepDetailsPrivateContinue	PRL_CitizenC100_370_005_KeepDetailsPrivateContinue	1678705227966	1678705227998	OK	 
REQUEST	1	PRL_CitizenC100_370_KeepDetailsPrivateContinue	PRL_CitizenC100_370_005_KeepDetailsPrivateContinue Redirect 1	1678705228002	1678705228066	OK	 
GROUP	1	PRL_CitizenC100_370_KeepDetailsPrivateContinue	1678705227964	1678705228138	152	OK
REQUEST	1	PRL_CitizenC100_380_ApplicantDetails	PRL_CitizenC100_380_005_ApplicantDetails	1678705231895	1678705231934	OK	 
REQUEST	1	PRL_CitizenC100_380_ApplicantDetails	PRL_CitizenC100_380_005_ApplicantDetails Redirect 1	1678705231937	1678705232001	OK	 
GROUP	1	PRL_CitizenC100_380_ApplicantDetails	1678705231894	1678705232079	177	OK
REQUEST	2	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login	1678705231523	1678705232237	OK	 
REQUEST	2	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 1	1678705232238	1678705233795	OK	 
REQUEST	1	PRL_CitizenC100_390_ApplicantRelationship	PRL_CitizenC100_390_005_ApplicantRelationship	1678705236702	1678705236742	OK	 
REQUEST	1	PRL_CitizenC100_390_ApplicantRelationship	PRL_CitizenC100_390_005_ApplicantRelationship Redirect 1	1678705236747	1678705236833	OK	 
GROUP	1	PRL_CitizenC100_390_ApplicantRelationship	1678705236694	1678705236892	182	OK
REQUEST	2	PRL_CitizenC100_020_Login	PRL_CitizenC100_020_005_Login Redirect 2	1678705233807	1678705237624	OK	 
GROUP	2	PRL_CitizenC100_020_Login	1678705231522	1678705237772	6223	OK
REQUEST	2	PRL_CitizenC100_030_StartApplication	PRL_CitizenC100_030_005_StartApplication	1678705241234	1678705241284	OK	 
GROUP	2	PRL_CitizenC100_030_StartApplication	1678705241234	1678705241355	119	OK
REQUEST	1	PRL_CitizenC100_400_ApplicantPostcode	PRL_CitizenC100_400_005_ApplicantPostcode	1678705241264	1678705241769	OK	 
REQUEST	1	PRL_CitizenC100_400_ApplicantPostcode	PRL_CitizenC100_400_005_ApplicantPostcode Redirect 1	1678705241782	1678705241863	OK	 
GROUP	1	PRL_CitizenC100_400_ApplicantPostcode	1678705241264	1678705241944	642	OK
REQUEST	1	PRL_CitizenC100_410_ApplicantSelectAddress	PRL_CitizenC100_410_005_ApplicantSelectAddress	1678705245896	1678705245942	OK	 
REQUEST	1	PRL_CitizenC100_410_ApplicantSelectAddress	PRL_CitizenC100_410_005_ApplicantSelectAddress Redirect 1	1678705245953	1678705246083	OK	 
GROUP	1	PRL_CitizenC100_410_ApplicantSelectAddress	1678705245894	1678705246154	239	OK
REQUEST	1	PRL_CitizenC100_420_ApplicantAddress	PRL_CitizenC100_420_005_ApplicantAddress	1678705250470	1678705250515	OK	 
REQUEST	1	PRL_CitizenC100_420_ApplicantAddress	PRL_CitizenC100_420_005_ApplicantAddress Redirect 1	1678705250531	1678705250598	OK	 
GROUP	1	PRL_CitizenC100_420_ApplicantAddress	1678705250464	1678705250659	165	OK
REQUEST	2	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed	1678705244538	1678705253358	OK	 
REQUEST	2	PRL_CitizenC100_040_WhatYouWillNeed	PRL_CitizenC100_040_005_WhatYouWillNeed Redirect 1	1678705253372	1678705253549	OK	 
GROUP	2	PRL_CitizenC100_040_WhatYouWillNeed	1678705244534	1678705253597	9039	OK
REQUEST	1	PRL_CitizenC100_430_ApplicantContact	PRL_CitizenC100_430_005_ApplicantContact	1678705254478	1678705254521	OK	 
REQUEST	1	PRL_CitizenC100_430_ApplicantContact	PRL_CitizenC100_430_005_ApplicantContact Redirect 1	1678705254528	1678705254589	OK	 
GROUP	1	PRL_CitizenC100_430_ApplicantContact	1678705254464	1678705254660	166	OK
REQUEST	2	PRL_CitizenC100_050_CaseName	PRL_CitizenC100_050_005_CaseName	1678705258509	1678705258567	OK	 
